1;ВТБ (Беларусь);https://i.i-vtb.by/;185.15.158.36
2;Альфа банк;https://click.alfa-bank.by;87.252.250.49
3;БелВЭБ;https://www.sbsibank.by/;212.98.162.170
4;Москва-Минск;https://online.mmbank.by/;82.209.244.113
5;Белагропромбанк;https://www.ibank.belapb.by;86.57.131.196,86.57.255.166
6;Технобанк;https://www.sbsibank.by/;212.98.162.170
7;Технобанк (Новый);https://it.tb.by/;212.98.165.16
8;РРБ-Банк;https://www.sbsibank.by/;212.98.162.170
9;Беларусбанк;https://ibank.asb.by; 194.158.196.36,86.57.255.36
10;Белгазпромбанк;https://www.e-bgpb.by;93.125.122.18
11;Белинвестбанк;https://ibank.belinvestbank.by; 194.62.64.138
12;БСБ Банк;https://24.bsb.by/;91.149.164.172
13;БНБ-Банк ;https://st.imbanking.by/;212.98.163.118
14;БПС-Сбербанк;https://i.bps-sberbank.by/;87.252.232.138
15;БТА Банк;https://bta.by;212.98.183.234
16;Идея Банк;https://ideabank24.by/;37.17.36.100
17;МТБанк;https://new.mybank.by;93.125.98.26
18;Паритетбанк;https://ibank.paritetbank.by;217.23.114.155
19;Приорбанк;https://www.prior.by;217.23.120.27,217.23.120.28
20;Банк Решение;https://tbank.rbank.by;212.98.162.38,82.209.240.150
21;Франсабанк;https://ibank.fransabank.by/;213.184.241.43
